Program: faiss Topk: 1000 Num_split: 20 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.2885 %	0.40614 %	0.480836 %	0.5489367 %	|	0.7415 %	0.9695 %	0.8722 %	0.9924 %	0.98681 %	0.929191 %	130370.23067474365
8000	16	256	|	128	-1	squared_l2
0.2883 %	0.4066 %	0.481854 %	0.5514692 %	|	0.7429 %	0.9733 %	0.87503 %	0.9979 %	0.9934 %	0.936609 %	233756.09397888184
8000	16	256	|	256	-1	squared_l2
0.2883 %	0.40673 %	0.482101 %	0.5520562 %	|	0.7432 %	0.9739 %	0.87583 %	0.9991 %	0.9952 %	0.938476 %	434146.3565826416
8000	16	256	|	320	-1	squared_l2
0.2883 %	0.40674 %	0.482109 %	0.5521114 %	|	0.7432 %	0.9739 %	0.87589 %	0.9991 %	0.99541 %	0.938644 %	532954.4353485107
8000	16	256	|	384	-1	squared_l2
0.2883 %	0.40674 %	0.48211 %	0.5521362 %	|	0.7432 %	0.9739 %	0.8759 %	0.9991 %	0.99542 %	0.938703 %	629486.8612289429
8000	16	256	|	448	-1	squared_l2
0.2883 %	0.40674 %	0.48211 %	0.552147 %	|	0.7432 %	0.9739 %	0.8759 %	0.9991 %	0.99544 %	0.938738 %	726761.965751648
8000	16	256	|	512	-1	squared_l2
0.2883 %	0.40674 %	0.482113 %	0.5521521 %	|	0.7432 %	0.9739 %	0.8759 %	0.9991 %	0.99544 %	0.938761 %	823186.3069534302
8000	16	256	|	576	-1	squared_l2
0.2883 %	0.40674 %	0.482115 %	0.5521569 %	|	0.7432 %	0.974 %	0.87591 %	0.9992 %	0.99546 %	0.938777 %	924679.913520813
8000	16	256	|	640	-1	squared_l2
0.2883 %	0.40674 %	0.482114 %	0.5521595 %	|	0.7432 %	0.974 %	0.87591 %	0.9992 %	0.99546 %	0.938783 %	1017556.8389892578
8000	16	256	|	704	-1	squared_l2
0.2883 %	0.40674 %	0.482115 %	0.5521608 %	|	0.7432 %	0.974 %	0.87591 %	0.9992 %	0.99547 %	0.938788 %	1110738.6922836304
8000	16	256	|	768	-1	squared_l2
0.2883 %	0.40674 %	0.482116 %	0.5521617 %	|	0.7432 %	0.974 %	0.87591 %	0.9992 %	0.99547 %	0.938789 %	1202500.925064087
8000	16	256	|	1024	-1	squared_l2
0.2883 %	0.40674 %	0.482116 %	0.5521619 %	|	0.7432 %	0.974 %	0.87591 %	0.9992 %	0.99547 %	0.938791 %	1576067.476272583
8000	16	256	|	1280	-1	squared_l2
0.2883 %	0.40674 %	0.482116 %	0.552162 %	|	0.7432 %	0.974 %	0.87591 %	0.9992 %	0.99547 %	0.938792 %	-1
8000	16	256	|	1536	-1	squared_l2
0.2883 %	0.40674 %	0.482116 %	0.5521621 %	|	0.7432 %	0.974 %	0.87591 %	0.9992 %	0.99547 %	0.938792 %	-1
8000	16	256	|	2048	-1	squared_l2
0.2883 %	0.40674 %	0.482116 %	0.5521621 %	|	0.7432 %	0.974 %	0.87591 %	0.9992 %	0.99547 %	0.938792 %	-1
6000	64	256	|	1	-1	squared_l2
0.4059 %	0.41247 %	0.379027 %	0.327031 %	|	0.4786 %	0.4786 %	0.43711 %	0.4786 %	0.43712 %	0.388782 %	24286.093711853027
6000	64	256	|	16	-1	squared_l2
0.7267 %	0.78809 %	0.808226 %	0.8023932 %	|	0.9558 %	0.9566 %	0.93802 %	0.9566 %	0.93804 %	0.911035 %	166478.9628982544
6000	64	256	|	32	-1	squared_l2
