Program: scann Topk: 1000 Num_split: 20 Batch: 128
L	Threashold	m	|	w	r	Metric
0.3195 %	0.43689 %	0.509562 %	0.5745618 %	|	0.7673 %	0.9713 %	0.89575 %	0.9976 %	0.99365 %	0.949199 %	402921.231508255
8000	0.55	64	|	704	-1	squared_l2
0.3195 %	0.43687 %	0.50954 %	0.5745585 %	|	0.7674 %	0.9713 %	0.89575 %	0.9976 %	0.99365 %	0.949214 %	442054.607629776
8000	0.55	64	|	768	-1	squared_l2
0.3195 %	0.43683 %	0.509541 %	0.574555 %	|	0.7673 %	0.9713 %	0.8957 %	0.9976 %	0.99366 %	0.949205 %	481135.94460487366
8000	0.55	64	|	1024	-1	squared_l2
0.3195 %	0.43679 %	0.509518 %	0.574556 %	|	0.7673 %	0.9713 %	0.89566 %	0.9976 %	0.99367 %	0.949217 %	636440.1097297668
8000	0.55	64	|	1280	-1	squared_l2
0.3195 %	0.4368 %	0.50952 %	0.57455 %	|	0.7673 %	0.9713 %	0.89567 %	0.9976 %	0.99367 %	0.949219 %	790833.2359790802
8000	0.55	64	|	1536	-1	squared_l2
0.3195 %	0.43684 %	0.509521 %	0.5745487 %	|	0.7673 %	0.9713 %	0.89571 %	0.9976 %	0.99367 %	0.94922 %	944306.1735630035
8000	0.55	64	|	2048	-1	squared_l2
0.3195 %	0.43685 %	0.509516 %	0.5745494 %	|	0.7673 %	0.9713 %	0.8957 %	0.9976 %	0.99367 %	0.949211 %	1250508.1083774567
8000	0.55	64	|	2560	-1	squared_l2
0.3195 %	0.43685 %	0.509515 %	0.5745495 %	|	0.7673 %	0.9713 %	0.8957 %	0.9976 %	0.99367 %	0.949215 %	1555430.3886890411
8000	0.55	64	|	3072	-1	squared_l2
0.3195 %	0.43685 %	0.509517 %	0.5745489 %	|	0.7673 %	0.9713 %	0.8957 %	0.9976 %	0.99367 %	0.949218 %	1861326.2305259705
8000	0.55	64	|	4096	-1	squared_l2
0.3195 %	0.43685 %	0.509516 %	0.5745488 %	|	0.7673 %	0.9713 %	0.8957 %	0.9976 %	0.99367 %	0.949218 %	2478854.0909290314
8000	0.55	64	|	4608	-1	squared_l2
0.3195 %	0.43685 %	0.509516 %	0.5745488 %	|	0.7673 %	0.9713 %	0.8957 %	0.9976 %	0.99367 %	0.949218 %	2790227.576494217
8000	0.55	64	|	5120	-1	squared_l2
0.3195 %	0.43685 %	0.509516 %	0.5745488 %	|	0.7673 %	0.9713 %	0.8957 %	0.9976 %	0.99367 %	0.949218 %	3104852.2233963013
8000	0.55	64	|	5632	-1	squared_l2
0.3195 %	0.43685 %	0.509516 %	0.5745488 %	|	0.7673 %	0.9713 %	0.8957 %	0.9976 %	0.99367 %	0.949218 %	3420636.2545490265
8000	0.55	64	|	6144	-1	squared_l2
0.3195 %	0.43685 %	0.509516 %	0.5745488 %	|	0.7673 %	0.9713 %	0.8957 %	0.9976 %	0.99367 %	0.949218 %	3742671.481370926
8000	0.55	64	|	6656	-1	squared_l2
0.3195 %	0.43685 %	0.509516 %	0.5745488 %	|	0.7673 %	0.9713 %	0.8957 %	0.9976 %	0.99367 %	0.949218 %	4064707.970380783
8000	0.55	64	|	7168	-1	squared_l2
0.3195 %	0.43685 %	0.509516 %	0.5745488 %	|	0.7673 %	0.9713 %	0.8957 %	0.9976 %	0.99367 %	0.949218 %	4387273.018360138
8000	0.55	64	|	7680	-1	squared_l2
