Program: scann Topk: 1000 Num_split: 1 Batch: 128
L	Threashold	m	|	w	r	Metric
800	0.2	10	|	200	-1	dot_product
0.0419 %	0.14432 %	0.287675 %	0.4255351 %	|	0.2045 %	0.5039 %	0.44108 %	0.7729 %	0.74954 %	0.675154 %	310.52660942077637
800	0.2	10	|	220	-1	dot_product
0.0419 %	0.14433 %	0.287699 %	0.4254747 %	|	0.2045 %	0.5041 %	0.44119 %	0.7737 %	0.74999 %	0.675323 %	325.9618282318115
800	0.2	10	|	250	-1	dot_product
0.0419 %	0.14436 %	0.287728 %	0.4253936 %	|	0.2046 %	0.5043 %	0.44133 %	0.7747 %	0.75072 %	0.675546 %	352.60581970214844
800	0.2	10	|	310	-1	dot_product
0.0419 %	0.14438 %	0.287782 %	0.4252682 %	|	0.2046 %	0.5045 %	0.44156 %	0.7767 %	0.7521 %	0.676057 %	402.6956558227539
800	0.2	10	|	400	-1	dot_product
0.0419 %	0.1444 %	0.28784 %	0.4251359 %	|	0.2046 %	0.5048 %	0.44183 %	0.7805 %	0.75383 %	0.676658 %	463.0918502807617
800	0.2	10	|	500	-1	dot_product
0.0419 %	0.14441 %	0.287879 %	0.4250062 %	|	0.2046 %	0.5051 %	0.44214 %	0.7831 %	0.75515 %	0.677123 %	536.0584259033203
800	0.2	10	|	800	-1	dot_product
0.0419 %	0.14442 %	0.287904 %	0.4248303 %	|	0.2046 %	0.5057 %	0.44258 %	0.7848 %	0.75684 %	0.677849 %	762.5043392181396
800	0.4	100	|	1	-1	dot_product
0.3452 %	0.4129 %	0.431289 %	0.2908417 %	|	0.4456 %	0.4483 %	0.44864 %	0.4483 %	0.44876 %	0.435585 %	80.98411560058594
800	0.4	100	|	2	-1	dot_product
