Program: scann Topk: 1000 Num_split: 1 Batch: 128
L	Threashold	m	|	w	r	Metric
800	0.4	128	|	4	-1	squared_l2
0.6432 %	0.66135 %	0.61086 %	0.4786054 %	|	0.7927 %	0.7937 %	0.72842 %	0.7937 %	0.72842 %	0.632855 %	171.74577713012695
800	0.4	128	|	8	-1	squared_l2
0.7115 %	0.75368 %	0.736719 %	0.6370792 %	|	0.897 %	0.898 %	0.85665 %	0.898 %	0.85665 %	0.781832 %	219.9399471282959
800	0.4	128	|	16	-1	squared_l2
0.752 %	0.80615 %	0.819195 %	0.7746912 %	|	0.9628 %	0.9639 %	0.94206 %	0.9639 %	0.94206 %	0.896843 %	306.1413764953613
800	0.4	128	|	25	-1	squared_l2
0.7636 %	0.82207 %	0.848016 %	0.8360911 %	|	0.9819 %	0.9832 %	0.97298 %	0.9832 %	0.97298 %	0.945628 %	396.9128131866455
800	0.4	128	|	30	-1	squared_l2
0.7663 %	0.82575 %	0.855895 %	0.854347 %	|	0.9873 %	0.9887 %	0.98122 %	0.9887 %	0.98122 %	0.960409 %	451.59125328063965
800	0.4	128	|	35	-1	squared_l2
0.768 %	0.82807 %	0.86089 %	0.8668132 %	|	0.9902 %	0.9916 %	0.98609 %	0.9916 %	0.98609 %	0.970265 %	503.6342144012451
800	0.4	128	|	40	-1	squared_l2
0.7695 %	0.82958 %	0.864228 %	0.8756053 %	|	0.9925 %	0.9939 %	0.98973 %	0.9939 %	0.98973 %	0.97735 %	558.2606792449951
800	0.4	128	|	45	-1	squared_l2
0.7702 %	0.83087 %	0.866658 %	0.881999 %	|	0.994 %	0.9954 %	0.99234 %	0.9954 %	0.99234 %	0.98251 %	623.6181259155273
800	0.4	128	|	50	-1	squared_l2
0.7707 %	0.83184 %	0.868339 %	0.8868027 %	|	0.9955 %	0.9969 %	0.9945 %	0.9969 %	0.9945 %	0.986414 %	661.797285079956
800	0.4	128	|	55	-1	squared_l2
0.7709 %	0.8322 %	0.869617 %	0.890415 %	|	0.9958 %	0.9972 %	0.99575 %	0.9972 %	0.99575 %	0.989329 %	709.9502086639404
800	0.4	128	|	60	-1	squared_l2
0.7712 %	0.83272 %	0.870581 %	0.8931945 %	|	0.9964 %	0.9979 %	0.99673 %	0.9979 %	0.99673 %	0.991537 %	763.0031108856201
800	0.4	128	|	65	-1	squared_l2
0.7718 %	0.83306 %	0.871287 %	0.895376 %	|	0.9971 %	0.9986 %	0.99755 %	0.9986 %	0.99755 %	0.99321 %	809.6795082092285
800	0.4	128	|	75	-1	squared_l2
0.7723 %	0.83352 %	0.87228 %	0.8984142 %	|	0.9977 %	0.9992 %	0.99843 %	0.9992 %	0.99843 %	0.995626 %	921.1294651031494
800	0.4	128	|	90	-1	squared_l2
0.7726 %	0.83378 %	0.8731 %	0.9010801 %	|	0.9982 %	0.9997 %	0.99915 %	0.9997 %	0.99915 %	0.997664 %	1074.458122253418
800	0.4	128	|	110	-1	squared_l2
0.7727 %	0.83409 %	0.873563 %	0.9028753 %	|	0.9984 %	0.9999 %	0.99973 %	0.9999 %	0.99973 %	0.998936 %	1266.9315338134766
800	0.4	128	|	130	-1	squared_l2
0.7728 %	0.83413 %	0.873757 %	0.903708 %	|	0.9985 %	1.0 %	0.99989 %	1.0 %	0.99989 %	0.999477 %	1470.8447456359863
800	0.4	128	|	150	-1	squared_l2
0.7728 %	0.83418 %	0.873878 %	0.9041236 %	|	0.9985 %	1.0 %	0.99997 %	1.0 %	0.99997 %	0.999755 %	1665.1332378387451
800	0.4	128	|	170	-1	squared_l2
0.7728 %	0.8342 %	0.873919 %	0.9043326 %	|	0.9985 %	1.0 %	0.99999 %	1.0 %	0.99999 %	0.999881 %	1866.6868209838867
800	0.4	128	|	200	-1	squared_l2
0.7728 %	0.8342 %	0.873953 %	0.9044696 %	|	0.9985 %	1.0 %	0.99999 %	1.0 %	0.99999 %	0.999952 %	2169.0828800201416
800	0.4	128	|	220	-1	squared_l2
0.7728 %	0.83421 %	0.873964 %	0.9045081 %	|	0.9985 %	1.0 %	1.0 %	1.0 %	1.0 %	0.999979 %	2376.0528564453125
800	0.4	128	|	250	-1	squared_l2
0.7728 %	0.83421 %	0.873968 %	0.9045333 %	|	0.9985 %	1.0 %	1.0 %	1.0 %	1.0 %	0.99999 %	2691.8373107910156
800	0.4	128	|	310	-1	squared_l2
0.7728 %	0.83421 %	0.873973 %	0.9045451 %	|	0.9985 %	1.0 %	1.0 %	1.0 %	1.0 %	0.999995 %	3324.4640827178955
800	0.4	128	|	400	-1	squared_l2
0.7728 %	0.8342 %	0.873974 %	0.9045469 %	|	0.9985 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	4269.559383392334
800	0.4	128	|	500	-1	squared_l2
0.7728 %	0.8342 %	0.873974 %	0.9045471 %	|	0.9985 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	5062.467336654663
800	0.4	128	|	800	-1	squared_l2
0.7728 %	0.8342 %	0.873974 %	0.9045473 %	|	0.9985 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	7976.166248321533
