Program: faiss Topk: 1000 Num_split: 1 Batch: 1
L	m	k_star	|	w	Reorder	Metric
0.48 %	0.513 %	0.5762 %	0.63609 %	|	0.83 %	1.0 %	0.946 %	1.0 %	0.999 %	0.9812 %	416651.1535644531
1000	32	256	|	576	-1	squared_l2
0.48 %	0.513 %	0.5762 %	0.63609 %	|	0.83 %	1.0 %	0.946 %	1.0 %	0.999 %	0.9812 %	470545.26805877686
1000	32	256	|	640	-1	squared_l2
0.48 %	0.513 %	0.5762 %	0.63609 %	|	0.83 %	1.0 %	0.946 %	1.0 %	0.999 %	0.9812 %	521166.5868759155
1000	32	256	|	704	-1	squared_l2
0.48 %	0.513 %	0.5762 %	0.63609 %	|	0.83 %	1.0 %	0.946 %	1.0 %	0.999 %	0.9812 %	573582.6015472412
1000	32	256	|	768	-1	squared_l2
0.48 %	0.513 %	0.5762 %	0.63609 %	|	0.83 %	1.0 %	0.946 %	1.0 %	0.999 %	0.9812 %	625842.5712585449
1000	64	256	|	1	-1	squared_l2
0.39 %	0.369 %	0.2855 %	0.18101 %	|	0.46 %	0.46 %	0.388 %	0.46 %	0.388 %	0.2884 %	5431.723594665527
1000	64	256	|	16	-1	squared_l2
0.65 %	0.695 %	0.7353 %	0.69229 %	|	0.9 %	0.9 %	0.886 %	0.9 %	0.886 %	0.8401 %	25691.03240966797
1000	64	256	|	32	-1	squared_l2
0.67 %	0.717 %	0.7725 %	0.77193 %	|	0.95 %	0.95 %	0.945 %	0.95 %	0.945 %	0.9235 %	45964.789390563965
1000	64	256	|	64	-1	squared_l2
0.69 %	0.728 %	0.7915 %	0.81276 %	|	0.98 %	0.98 %	0.978 %	0.98 %	0.978 %	0.9692 %	84450.93631744385
1000	64	256	|	128	-1	squared_l2
0.69 %	0.736 %	0.798 %	0.82935 %	|	0.99 %	0.99 %	0.995 %	0.99 %	0.995 %	0.9908 %	162483.811378479
1000	64	256	|	256	-1	squared_l2
0.69 %	0.738 %	0.8001 %	0.83464 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9984 %	316990.42320251465
1000	64	256	|	320	-1	squared_l2
0.69 %	0.738 %	0.8 %	0.83519 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9996 %	395120.9545135498
1000	64	256	|	384	-1	squared_l2
0.69 %	0.738 %	0.8003 %	0.8355 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9999 %	471034.8129272461
1000	64	256	|	448	-1	squared_l2
0.69 %	0.738 %	0.8003 %	0.83558 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9999 %	546323.2278823853
1000	64	256	|	512	-1	squared_l2
0.69 %	0.738 %	0.8003 %	0.83563 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	622740.888595581
1000	64	256	|	576	-1	squared_l2
0.69 %	0.738 %	0.8003 %	0.83566 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	699601.149559021
1000	64	256	|	640	-1	squared_l2
0.69 %	0.738 %	0.8003 %	0.83566 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	777755.59425354
1000	64	256	|	704	-1	squared_l2
0.69 %	0.738 %	0.8003 %	0.83567 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	854748.7735748291
1000	64	256	|	768	-1	squared_l2
0.69 %	0.738 %	0.8003 %	0.83568 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	933681.9410324097
1000	128	256	|	1	-1	squared_l2
0.44 %	0.384 %	0.2879 %	0.18101 %	|	0.46 %	0.46 %	0.388 %	0.46 %	0.388 %	0.2884 %	6517.386436462402
1000	128	256	|	16	-1	squared_l2
0.84 %	0.833 %	0.8244 %	0.72753 %	|	0.9 %	0.9 %	0.886 %	0.9 %	0.886 %	0.8401 %	45371.86622619629
1000	128	256	|	32	-1	squared_l2
0.89 %	0.88 %	0.8934 %	0.8415 %	|	0.95 %	0.95 %	0.945 %	0.95 %	0.945 %	0.9235 %	84066.12873077393
1000	128	256	|	64	-1	squared_l2
0.92 %	0.901 %	0.926 %	0.91006 %	|	0.98 %	0.98 %	0.978 %	0.98 %	0.978 %	0.9692 %	164709.75875854492
1000	128	256	|	128	-1	squared_l2
0.93 %	0.912 %	0.9394 %	0.94092 %	|	0.99 %	0.99 %	0.995 %	0.99 %	0.995 %	0.9908 %	316981.26792907715
1000	128	256	|	256	-1	squared_l2
0.94 %	0.916 %	0.9429 %	0.95103 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9984 %	621431.5414428711
1000	128	256	|	320	-1	squared_l2
0.94 %	0.916 %	0.9432 %	0.95223 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9996 %	780879.8551559448
1000	128	256	|	384	-1	squared_l2
